originalSentence,danishSentence,tamperingType,tamperedSentence,LLMScore,BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f
Resumption of the session,Genoptagelse af sessionen,Replace Token with Random Word,cinenchymatous of the session,0.7,8.636168555094496e-78,0.7361,0.75,0.75,0.749999995,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.75,0.75,0.749999995
Resumption of the session,Genoptagelse af sessionen,Swap words,of resumption the session ,0.8,1.0547686614863434e-154,0.7891,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
Resumption of the session,Genoptagelse af sessionen,Remove Token,resumption of session,1.0,1.5319719891192393e-231,0.6553,0.6666666666666666,0.5,0.5714285665306124,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285665306124
Resumption of the session,Genoptagelse af sessionen,Add random word,ichebu resumption of the session,1.0,6.725854833444237e-78,0.968,0.6,0.75,0.6666666617283951,0.5,0.6666666666666666,0.5714285665306124,0.6,0.75,0.6666666617283951
Resumption of the session,Genoptagelse af sessionen,Duplicate Token,resumption of the session session,0.83,6.725854833444237e-78,0.9146,0.75,0.75,0.749999995,0.5,0.6666666666666666,0.5714285665306124,0.75,0.75,0.749999995
Resumption of the session,Genoptagelse af sessionen,Replace Character,Resujption of the session,0.95,8.636168555094496e-78,0.7361,0.75,0.75,0.749999995,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.75,0.75,0.749999995
Resumption of the session,Genoptagelse af sessionen,Duplicate character,Resumption  of the session,1.0,1.0,0.9922,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
Resumption of the session,Genoptagelse af sessionen,Remove Character,Resumption of te session,0.95,1.0547686614863434e-154,0.6389,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
Resumption of the session,Genoptagelse af sessionen,Swap characters,Resumption of the sesison,0.95,8.636168555094496e-78,0.7361,0.75,0.75,0.749999995,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.75,0.75,0.749999995
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Replace Token with Random Word,"i declare resumed the session plyingly the european parliament adjourned on friday 17 december 1999, and i would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.95,0.657478270651534,0.9749,0.8181818181818182,0.8181818181818182,0.8181818131818183,0.6756756756756757,0.6756756756756757,0.6756756706756757,0.8181818181818182,0.8181818181818182,0.8181818131818183
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Swap words,"i declare resumed the session of the european parliament adjourned on friday 17 december 1999, and i would like once again to wish you a happy year new in the hope that you enjoyed a pleasant festive period. ",0.95,0.615889273726765,0.9995,0.8235294117647058,0.8484848484848485,0.835820890523502,0.631578947368421,0.6486486486486487,0.6399999950008889,0.7941176470588235,0.8181818181818182,0.8059701442548453
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Remove Token,"i declare resumed the session of the european parliament adjourned on friday 17 december 1999, and i would like once again to wish you a happy new year in the hope that you enjoyed a festive period.",0.95,0.6333091208443796,0.9774,0.84375,0.8181818181818182,0.8307692257704142,0.6944444444444444,0.6756756756756757,0.6849315018502533,0.84375,0.8181818181818182,0.8307692257704142
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Add random word,"i declare resumed the session treeling of the european parliament adjourned on friday 17 december 1999, and i would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.97,0.6519493448086605,0.9974,0.8235294117647058,0.8484848484848485,0.835820890523502,0.6842105263157895,0.7027027027027027,0.6933333283342223,0.8235294117647058,0.8484848484848485,0.835820890523502
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Duplicate Token,"i declare resumed the session of the european parliament adjourned on friday 17 december 1999, and i would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period period.",0.95,0.6728868188947666,0.9974,0.8484848484848485,0.8484848484848485,0.8484848434848486,0.7105263157894737,0.7297297297297297,0.7199999950008891,0.8484848484848485,0.8484848484848485,0.8484848434848486
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Replace Character,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish youza happy new year in the hope that you enjoyed a pleasant festive period.",0.98,0.9076141716697396,0.9523,0.9705882352941176,1.0,0.9850746218667856,0.9444444444444444,0.918918918918919,0.9315068443160068,0.9705882352941176,1.0,0.9850746218667856
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Duplicate character,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to  wish you a happy new year in the hope that you enjoyed a pleasant festive period.",1,1.0,1.0,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Remove Character,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope thatyou enjoyed a pleasant festive period.",1.0,0.9076141716697396,0.9518,0.9696969696969696,0.9696969696969696,0.96969696469697,0.9444444444444444,0.918918918918919,0.9315068443160068,0.9696969696969696,0.9696969696969696,0.96969696469697
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Jeg erklærer Europa-Parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget. Endnu en gang vil jeg ønske Dem godt nytår, og jeg håber, De har haft en god ferie.",Swap characters,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999,a nd I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.99,0.910599142543337,0.9725,0.9393939393939394,0.9393939393939394,0.9393939343939396,0.918918918918919,0.918918918918919,0.918918913918919,0.9393939393939394,0.9393939393939394,0.9393939343939396
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Replace Token with Random Word,"although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a burgonets of countries suffered a series of natural disasters that truly were dreadful.",0.95,0.8966773400768917,0.9721,0.9285714285714286,0.9285714285714286,0.9285714235714286,0.9,0.9,0.899999995,0.9285714285714286,0.9285714285714286,0.9285714235714286
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Swap words,"although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly dreadful. were ",0.95,0.9111575293441672,0.9997,0.9642857142857144,0.9642857142857144,0.9642857092857144,0.9,0.9,0.899999995,0.9642857142857144,0.9642857142857144,0.9642857092857144
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Remove Token,"although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people a number of countries suffered a series of natural disasters that truly were dreadful.",0.99,0.8966773400768917,0.9748,0.9629629629629628,0.9285714285714286,0.9454545404561984,0.9310344827586208,0.9,0.915254232289572,0.9629629629629628,0.9285714285714286,0.9454545404561984
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Add random word,"silicifying although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0.95,0.9443829415313818,0.9972,0.9310344827586208,0.9642857142857144,0.9473684160541708,0.935483870967742,0.9666666666666668,0.9508196671324912,0.9310344827586208,0.9642857142857144,0.9473684160541708
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Duplicate Token,"although, as you you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",1.0,0.922146585478862,0.9971,0.9642857142857144,0.9642857142857144,0.9642857092857144,0.935483870967742,0.9666666666666668,0.9508196671324912,0.9642857142857144,0.9642857142857144,0.9642857092857144
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Replace Character,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in y number of countries suffered a series of natural disasters that truly were dreadful.",0.96,0.9257518071011758,0.9721,0.9655172413793104,1.0,0.9824561353524162,0.9333333333333332,0.9333333333333332,0.9333333283333336,0.9655172413793104,1.0,0.9824561353524162
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Duplicate character,"Although, as you will have seen, the dreeaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",1.0,0.9257518071011758,0.9721,0.9642857142857144,0.9642857142857144,0.9642857092857144,0.9333333333333332,0.9333333333333332,0.9333333283333336,0.9642857142857144,0.9642857142857144,0.9642857092857144
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Remove Character,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number f countries suffered a series of natural disasters that truly were dreadful.",1,0.9257518071011758,0.9721,0.9655172413793104,1.0,0.9824561353524162,0.9333333333333332,0.9333333333333332,0.9333333283333336,0.9655172413793104,1.0,0.9824561353524162
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Som De kan se, indfandt det store ""år 2000-problem"" sig ikke. Til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.",Swap characters,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a serieso f natural disasters that truly were dreadful.",1,0.8966773400768917,0.9437,0.9310344827586208,0.9642857142857144,0.9473684160541708,0.9,0.9,0.899999995,0.9310344827586208,0.9642857142857144,0.9473684160541708
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Replace Token with Random Word,"icosahedra have requested a debate on this subject in the course of the next few days, during this part-session.",1.0,0.948543837069451,0.9523,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.9444444444444444,0.9444444444444444,0.9444444394444445,0.9411764705882352,0.9411764705882352,0.9411764655882354
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Swap words,"you have requested a debate on this subject the in course of the next few days, during this part-session. ",0.97,0.782160655058472,0.9965,0.8888888888888888,0.9411764705882352,0.914285709289796,0.7368421052631579,0.7777777777777778,0.7567567517604091,0.8888888888888888,0.9411764705882352,0.914285709289796
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Remove Token,"you have requested a debate on this subject in the course of the next days, during this part-session.",0.97,0.8137489370974955,0.9565,0.9375,0.8823529411764706,0.9090909040955004,0.8823529411764706,0.8333333333333334,0.8571428521469389,0.9375,0.8823529411764706,0.9090909040955004
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Add random word,"you aerobate have requested a debate on this subject in the course of the next few days, during this part-session.",0.95,0.904433660171783,0.9948,0.8888888888888888,0.9411764705882352,0.914285709289796,0.8947368421052632,0.9444444444444444,0.9189189139225714,0.8888888888888888,0.9411764705882352,0.914285709289796
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Duplicate Token,"you have have requested a debate on this subject in the course of the next few days, during this part-session.",1. 0,0.904433660171783,0.9948,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.8947368421052632,0.9444444444444444,0.9189189139225714,0.9411764705882352,0.9411764705882352,0.9411764655882354
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Replace Character,"You hace requested a debate on this subject in the course of the next few days, during this part-session.",0.98,0.9086549610666288,0.9519,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.8888888888888888,0.8888888888888888,0.888888883888889,0.9411764705882352,0.9411764705882352,0.9411764655882354
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Duplicate character,"You have requested a debate on this subject  in the course of the next few days, during this part-session.",1,1.0,0.9999,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Remove Character,"You have requested a ebate on this subject in the course of the next few days, during this part-session.",1.0,0.8656030552541708,0.9519,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.8888888888888888,0.8888888888888888,0.888888883888889,0.9411764705882352,0.9411764705882352,0.9411764655882354
"You have requested a debate on this subject in the course of the next few days, during this part-session.",De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,Swap characters,"You have requested a debate on this subject in the course o fthe next few days, during this part-session.",1.,0.8137489370974955,0.9005,0.8888888888888888,0.9411764705882352,0.914285709289796,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.8888888888888888,0.9411764705882352,0.914285709289796
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Replace Token with Random Word,"in the meantime, i should like to observe a minute' s silence, as a number of members have requested, on nonliteracy of all the victims concerned, particularly those of the terrible storms, in the various countries of the european union.",0.95,0.7455355752434568,0.9787,0.8387096774193549,0.8125,0.8253968203980853,0.7837837837837838,0.7631578947368421,0.7733333283342223,0.8387096774193549,0.8125,0.8253968203980853
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Swap words,"in the meantime, i should like to observe a minute' s silence, as a number of members have requested, on behalf of all the victims concerned, particularly those of the storms, terrible in the various countries of the european union. ",0.95,0.7194038611112988,0.9997,0.84375,0.84375,0.843749995,0.7368421052631579,0.7368421052631579,0.7368421002631579,0.8125,0.8125,0.812499995
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Remove Token,"in the meantime, i should like to observe a minute' s silence, as a number of members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries the european union.",0.98,0.7643639006990107,0.9782,0.8709677419354839,0.84375,0.8571428521441169,0.8108108108108109,0.7894736842105263,0.799999995000889,0.8709677419354839,0.84375,0.8571428521441169
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Add random word,"in the meantime, i should like to observe a minute' s silence, as a number of pardoner members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the european union.",0.95,0.7869410479773552,0.9978,0.84375,0.84375,0.843749995,0.8157894736842105,0.8157894736842105,0.8157894686842105,0.84375,0.84375,0.843749995
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Duplicate Token,"in the the meantime, i should like to observe a minute' s silence, as a number of members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the european union.",0.98,0.7869410479773552,0.9978,0.8709677419354839,0.84375,0.8571428521441169,0.8157894736842105,0.8157894736842105,0.8157894686842105,0.8709677419354839,0.84375,0.8571428521441169
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Replace Character,"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on bezalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",0.99,0.9440602839389668,0.9787,0.96875,0.96875,0.968749995,0.9473684210526316,0.9473684210526316,0.9473684160526316,0.96875,0.96875,0.968749995
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Duplicate character,"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various coountries of the European Union.",0.99,0.9440602839389668,0.9787,0.96875,0.96875,0.968749995,0.9473684210526316,0.9473684210526316,0.9473684160526316,0.96875,0.96875,0.968749995
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Remove Character,"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the variouscountries of the European Union.",1,0.922045044975196,0.9594,0.967741935483871,0.9375,0.952380947382212,0.945945945945946,0.9210526315789472,0.9333333283342222,0.967741935483871,0.9375,0.952380947382212
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.",Swap characters,"In the meantime, I should like to observe a minute' s silenec, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",1,0.9440602839389668,0.9787,0.96875,0.96875,0.968749995,0.9473684210526316,0.9473684210526316,0.9473684160526316,0.96875,0.96875,0.968749995
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Replace Token with Random Word,"please rise, then, for this minute disceptation s silence.",0.85,0.6340466277046861,0.9139,0.6666666666666666,0.75,0.7058823479584776,0.5,0.5714285714285714,0.5333333283555556,0.6666666666666666,0.75,0.7058823479584776
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Swap words,"please rise, then, for minute' this s silence. ",0.9,0.4771897075810881,0.9815,0.7777777777777778,0.875,0.823529406782007,0.375,0.4285714285714285,0.3999999950222222,0.6666666666666666,0.75,0.7058823479584776
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Remove Token,"rise, then, for this minute' s silence.",0.95,0.9036020036098448,0.924,1.0,0.875,0.9333333283555556,1.0,0.8571428571428571,0.9230769181065088,1.0,0.875,0.9333333283555556
