originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage
dette er målene for disse retningslinjer.,this is the purpose of these guidelines.,Letter Order Swapping,dette er målene for disse retninglsinjer.,"(0.98, 0.99)",0.6434588841607617,0.8413,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.8,0.8,0.7999999950000002,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.98,0.99,da
vi har taget det til efterretning.,we have taken note of this.,Letter Order Swapping,vi har tagte det til efterretning.,"(0.95, 0.99)",0.488923022434901,0.8413,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.95,0.99,da
konkurrencepolitik og forbrugerpolitik hører sammen.,"in fact, competition policy and consumer policy belong together.",Letter Replacement,konpurrencepolitik og forbrugerpolitik hører sammen.,"(0.99, 0.99)",0.7598356856515925,0.83,0.8,0.8,0.7999999950000002,0.75,0.75,0.749999995,0.8,0.8,0.7999999950000002,0.99,0.99,da
det går ud over erhvervslivets retssikkerhed.,this would be at the expense of legal certainty within industry.,Word Order Swapping,går det ud over erhvervslivets retssikkerhed. ,"(1.00, 1.00)",0.668740304976422,0.9606,1.0,0.8571428571428571,0.9230769181065088,0.6,0.5,0.5454545404958678,0.8333333333333334,0.7142857142857143,0.7692307642603551,1.0,1.0,da
vi må tage dette ansvar alvorligt.,we need to take this responsibility seriously.,Word Removal,vi må tage dette ansvar.,"(0.85, 0.95)",0.6731821382417487,0.8535,0.8333333333333334,1.0,0.9090909041322316,0.8,1.0,0.8888888839506174,0.8333333333333334,1.0,0.9090909041322316,0.85,0.95,da
hvad skal vi gøre nu?,what are we to do now?,Word Order Swapping,hvad skal vi nu? gøre ,"(0.95, 0.90)",7.600793306264725e-78,0.9375,1.0,1.0,0.999999995,0.5,0.5,0.4999999950000001,0.8,0.8,0.7999999950000002,0.95,0.9,da
"kære kolleger, det er forkert!",this is wrong!,Letter Removal,"kære kolleger, det er forker!","(0.95, 0.95)",0.6434588841607617,0.8413,0.8,0.8,0.7999999950000002,0.75,0.75,0.749999995,0.8,0.8,0.7999999950000002,0.95,0.95,da
mine spørgsmål vedrører positivlisten for foderstoffer.,my questions relate to the positive list for animal feed.,Word Order Swapping,mine spørgsmål vedrører positivlisten foderstoffer. for ,"(0.95, 0.90)",0.5081327481546147,0.9606,1.0,1.0,0.999999995,0.6,0.6,0.5999999950000001,1.0,1.0,0.999999995,0.95,0.9,da
det var til det politiske aspekt.,so much for the political aspect.,Word Removal,det var til politiske aspekt.,"(0.95, 0.95)",8.221833772233233e-78,0.8152,1.0,1.0,0.999999995,0.6,0.75,0.6666666617283951,1.0,1.0,0.999999995,0.95,0.95,da
"tak for spørgsmålet, hr. bowe.","thank you, mr bowe, for that question.",Letter Order Swapping,"atk for spørgsmålet, hr. bowe.","(0.95, 0.95)",0.8408964152537145,0.8737,0.8,0.8,0.7999999950000002,0.75,0.75,0.749999995,0.8,0.8,0.7999999950000002,0.95,0.95,da
hvor mange har fundet arbejde?,how many people found work?,Word Replacement,hvor mange har hej arbejde?,"(0.60, 0.85)",7.262123179505913e-78,0.8067,0.8,0.8,0.7999999950000002,0.5,0.5,0.4999999950000001,0.8,0.8,0.7999999950000002,0.6,0.85,da
